,Date,Site,Temp,Pop,Brooders,Gaping,Dead,Closed,Total,PercentBrooders,PercentGaping,PercentDead,PercentClosed,Tide
2,5/16/2014,Fidalgo,9,N,0,53,0,46,99,0,0.535353535,0,0.464646465,-2.27
3,5/24/2014,Fidalgo,10,N,0,24,0,86,110,0,0.218181818,0,0.781818182,1.12
4,5/30/2014,Fidalgo,10,N,0,46,0,50,96,0,0.479166667,0,0.520833333,-1.46
5,6/6/2014,Fidalgo,10,N,1,59,2,36,97,0.010309278,0.608247423,0.020618557,0.371134021,3.13
6,6/13/2014,Fidalgo,7,N,0,68,1,27,96,0,0.708333333,0.010416667,0.28125,-2.81
7,6/20/2014,Fidalgo,8,N,0,76,0,34,110,0,0.690909091,0,0.309090909,2.14
8,6/27/2014,Fidalgo,9,N,1,87,0,6,93,0.010752688,0.935483871,0,0.064516129,-1.42
9,7/4/2014,Fidalgo,9,N,1,82,0,13,95,0.010526316,0.863157895,0,0.136842105,2.58
10,7/11/2014,Fidalgo,16,N,0,78,0,17,95,0,0.821052632,0,0.178947368,-2.57
11,7/18/2014,Fidalgo,10,N,0,68,0,40,108,0,0.62962963,0,0.37037037,2.05
12,7/25/2014,Fidalgo,11,N,0,55,0,45,100,0,0.55,0,0.45,-0.78
13,8/1/2014,Fidalgo,10,N,0,28,0,68,96,0,0.291666667,0,0.708333333,2.39
14,8/8/2014,Fidalgo,11,N,5,89,0,10,99,0.050505051,0.898989899,0,0.101010101,-1.66
16,5/14/2014,Manchester,9,N,0,31,0,28,59,0,0.525423729,0,0.474576271,-1.63
17,5/21/2014,Manchester,10,N,0,40,3,48,91,0,0.43956044,0.032967033,0.527472527,0.87
18,5/28/2014,Manchester,13,N,0,54,15,28,97,0,0.556701031,0.154639175,0.288659794,-1.83
19,6/4/2014,Manchester,8,N,0,43,15,32,90,0,0.477777778,0.166666667,0.355555556,1.7
20,6/11/2014,Manchester,9,N,0,41,8,12,61,0,0.672131148,0.131147541,0.196721311,-1.75
21,6/18/2014,Manchester,7,N,0,73,2,12,87,0,0.83908046,0.022988506,0.137931034,0.19
22,6/25/2014,Manchester,10,N,1,53,23,19,95,0.010526316,0.557894737,0.242105263,0.2,-1.49
23,7/2/2014,Manchester,10,N,0,40,20,18,78,0,0.512820513,0.256410256,0.230769231,0.94
24,7/9/2014,Manchester,11,N,0,45,12,2,59,0,0.762711864,0.203389831,0.033898305,-1.12
25,7/16/2014,Manchester,10,N,0,61,6,8,75,0,0.813333333,0.08,0.106666667,-0.28
26,7/23/2014,Manchester,8,N,0,60,10,9,79,0,0.759493671,0.126582278,0.113924051,-0.6
27,7/30/2014,Manchester,11,N,0,45,12,7,64,0,0.703125,0.1875,0.109375,0.86
28,8/6/2014,Manchester,18,N,0,45,4,5,54,0,0.833333333,0.074074074,0.092592593,-0.14
30,5/15/2014,Oyster Bay,13,N,0,46,7,14,67,0,0.686567164,0.104477612,0.208955224,-2.43
31,5/22/2014,Oyster Bay,13,N,0,3,93,5,101,0,0.02970297,0.920792079,0.04950495,2.31
32,5/29/2014,Oyster Bay,15,N,2,51,6,10,67,0.029850746,0.76119403,0.089552239,0.149253731,-2
33,6/5/2014,Oyster Bay,13,N,1,52,7,8,67,0.014925373,0.776119403,0.104477612,0.119402985,2.97
34,6/12/2014,Oyster Bay,15,N,2,48,8,1,57,0.035087719,0.842105263,0.140350877,0.01754386,-2.47
35,6/19/2014,Oyster Bay,16,N,3,54,8,1,63,0.047619048,0.857142857,0.126984127,0.015873016,1.93
36,6/26/2014,Oyster Bay,14,N,7,156,26,2,184,0.038043478,0.847826087,0.141304348,0.010869565,-1.72
37,7/3/2014,Oyster Bay,15,N,0,49,0,1,50,0,0.98,0,0.02,2.14
38,7/10/2014,Oyster Bay,16,N,8,73,3,2,78,0.102564103,0.935897436,0.038461538,0.025641026,-2.19
39,7/17/2014,Oyster Bay,16,N,0,48,1,1,50,0,0.96,0.02,0.02,1.42
40,7/24/2014,Oyster Bay,15,N,3,68,0,10,78,0.038461538,0.871794872,0,0.128205128,-0.85
41,7/31/2014,Oyster Bay,17,N,1,50,0,0,50,0.02,1,0,0,1.84
42,8/7/2014,Oyster Bay,15,N,3,71,0,7,78,0.038461538,0.91025641,0,0.08974359,-1.05
44,5/16/2014,Fidalgo,9,H,0,48,0,52,100,0,0.48,0,0.52,-2.27
45,5/24/2014,Fidalgo,10,H,0,53,0,30,83,0,0.638554217,0,0.361445783,1.12
46,5/30/2014,Fidalgo,10,H,0,50,1,40,91,0,0.549450549,0.010989011,0.43956044,-1.46
47,6/6/2014,Fidalgo,10,H,0,58,0,33,91,0,0.637362637,0,0.362637363,3.13
48,6/13/2014,Fidalgo,7,H,0,72,0,27,99,0,0.727272727,0,0.272727273,-2.81
49,6/20/2014,Fidalgo,8,H,0,77,0,10,87,0,0.885057471,0,0.114942529,2.14
50,6/27/2014,Fidalgo,9,H,0,65,0,28,93,0,0.698924731,0,0.301075269,-1.42
51,7/4/2014,Fidalgo,9,H,1,88,0,9,97,0.010309278,0.907216495,0,0.092783505,2.58
52,7/11/2014,Fidalgo,16,H,0,70,0,28,98,0,0.714285714,0,0.285714286,-2.57
53,7/18/2014,Fidalgo,10,H,2,32,0,50,82,0.024390244,0.390243902,0,0.609756098,2.05
54,7/25/2014,Fidalgo,11,H,2,50,0,36,86,0.023255814,0.581395349,0,0.418604651,-0.78
55,8/1/2014,Fidalgo,10,H,0,84,0,2,86,0,0.976744186,0,0.023255814,2.39
56,8/8/2014,Fidalgo,11,H,3,67,0,15,82,0.036585366,0.817073171,0,0.182926829,-1.66
58,5/14/2014,Manchester,9,H,0,25,0,72,97,0,0.257731959,0,0.742268041,-1.63
59,5/21/2014,Manchester,10,H,0,16,2,66,84,0,0.19047619,0.023809524,0.785714286,0.87
60,5/28/2014,Manchester,13,H,0,27,0,58,85,0,0.317647059,0,0.682352941,-1.83
